,name,formula,Tc,Pc,dh_form,dh_comb,dg_form,ds_form
75,"1,3,5-Trimethylbenzene",C9H12,637.36,3110000.0,-15900.0,-4929100.0,118100.0,385.59999999999997
76,p-Isopropyltoluene,C10H14,653.15,2800000.0,-29000.0,-5549800.0,133520.0,426.3
77,Naphthalene,C10H8,748.35,3990000.0,150580.0,-4980900.0,224080.0,333.15000000000003
78,Biphenyl,C12H10,789.26,3860000.0,182420.0,-6031700.0,280230.0,393.67
79,Styrene,C8H8,636.0,3820000.0,147400.0,-4219000.0,213900.0,345.1
80,m-Terphenyl,C18H14,924.85,3530000.0,276600.0,-9053000.0,423000.0,526.3
81,Methanol,CH4O,512.64,8140000.000000001,-200940.0,-638200.0,-162320.0,239.88
82,Ethanol,C2H6O,513.92,6120000.0,-234950.0,-1235000.0,-167850.0,280.64
83,1-Propanol,C3H8O,536.78,5120000.0,10000.0,3224700.0,-255200.0,-1599.0
84,1-Butanol,C4H10O,563.05,4340000.0,-274600.0,-2456000.0,-150300.0,361.47999999999996
85,2-Butanol,C4H10O,536.05,4200000.0,-292900.0,-2440800.0,-169600.0,364.69
86,2-Propanol,C3H8O,508.3,4790000.0,-272700.0,-1830000.0,-173470.0,309.2
87,2-Methyl-2-propanol,C4H10O,506.21,3990000.0,-312400.0,-2423900.0,-177600.00000000003,326.3
88,1-Pentanol,C5H12O,586.15,3870000.0,-298737.0,-3060500.0,-146022.0,402.50000000000006
89,2-Methyl-1-butanol,C5H12O,565.0,3870000.0,-302085.0,-3062000.0,-146709.0,393.51
90,3-Methyl-1-butanol,C5H12O,577.2,3900000.0,-302100.0,-3062300.0,-145000.0,387.7
91,1-Hexanol,C6H14O,611.35,3460000.0,-316500.0,-3676600.0,-134400.0,440.09999999999997
92,1-Heptanol,C7H16O,631.9,3180000.0,-336400.0,-4286000.0,-125300.0,479.19
93,Cyclohexanol,C6H12O,650.0,4250000.0,-286200.0,-3463900.0,-109500.0,327.7
94,Ethylene glycol,C2H6O2,719.7,7710000.0,-387500.0,-1059000.0,-302600.0,323.5
95,"1,2-Propylene glycol",C3H8O2,626.0,6040000.0,-421500.0,-1647600.0,-304000.0,352.0
96,Phenol,C6H6O,694.25,6060000.0,-96399.00000000001,-2921000.0,-32637.0,314.81
97,o-Cresol,C7H8O,697.55,5060000.0,-128570.0,-3528000.0,-35430.0,352.59000000000003
98,m-Cresol,C7H8O,705.85,4520000.0,-132300.0,-3527800.0,-40190.0,356.04
99,p-Cresol,C7H8O,704.65,5150000.0,-125350.0,-3522600.0,-31660.0,350.75
100,Dimethyl ether,C2H6O,400.1,5270000.0,-184100.0,-1328400.0,-112800.0,266.7
101,Methyl ethyl ether,C3H8O,437.8,4470000.0,-216400.0,-1931400.0,-117100.00000000001,308.81
102,Methyl n-propyl ether,C4H10O,476.3,3770000.0,-238200.0,-2517400.0,-111000.0,352.0
103,Methyl isopropyl ether,C4H10O,464.5,3890000.0,-252000.0,-2531100.0,-121800.0,341.59999999999997
104,Methyl n-butyl ether,C5H12O,510.0,3310000.0,-258100.0,-3128200.0,-101700.0,390.09999999999997
105,Methyl isobutyl ether,C5H12O,497.0,3410000.0,-266000.0,-3122000.0,-107000.0,381.0
106,Methyl tert-butyl ether,C5H12O,497.1,3410000.0,-283500.0,-3104900.0,-117500.0,357.8
107,Diethyl ether,C4H10O,466.7,3640000.0,-252100.0,-2503500.0,-122100.00000000001,342.3
108,Ethyl propyl ether,C5H12O,500.23,3370000.0,-272200.0,-3120000.0,-115200.0,388.09999999999997
109,Ethyl isopropyl ether,C5H12O,489.0,3410000.0,-285800.0,-3103000.0,-126400.0,380.0
110,Methyl phenyl ether,C7H8O,645.6,4270000.0,-67900.0,-3607200.0,22700.0,361.0
111,Diphenyl ether,C12H10O,766.8,3100000.0,52000.0,-5893900.0,175000.0,413.0
112,Formaldehyde,CH2O,408.0,6590000.0,-108600.0,-526800.0,-102600.0,218.66
113,Acetaldehyde,C2H4O,466.0,5570000.0,-166200.0,-1104500.0,-133100.0,264.2
114,1-Propanal,C3H6O,504.4,4920000.0,-186300.0,-1685700.0,-124600.00000000001,304.4
115,1-Butanal,C4H8O,537.2,4320000.0,-207000.0,-2303500.0,-116300.00000000001,343.65000000000003
116,1-Pentanal,C5H10O,566.1,3970000.0,-227800.0,-2910000.0,-107100.00000000001,382.89
117,1-Hexanal,C6H12O,591.0,3460000.0,-248600.0,-3520000.0,-100050.00000000001,422.14
118,1-Heptanal,C7H14O,617.0,3180000.0,-269400.0,-4136000.0,-91910.0,461.38000000000005
119,1-Octanal,C8H16O,638.1,2970000.0,-290200.0,-4740000.0,-83770.0,500.63000000000005
120,1-Nonanal,C9H18O,658.0,2740000.0,-310900.0,-5350000.0,-75530.0,539.88
121,1-Decanal,C10H20O,674.2,2600000.0,-331700.0,-5959000.0,-67390.0,579.12
122,Acetone,C3H6O,508.2,4710000.0,-215700.0,-1659000.0,-151300.0,295.40000000000003
123,Methyl ethyl ketone,C4H8O,535.5,4120000.0,-239000.0,-2268000.0,-147000.0,339.40000000000003
124,2-Pentanone,C5H10O,561.08,3710000.0,-259200.00000000003,-2879600.0,-138300.0,378.6
125,Methyl isopropyl ketone,C5H10O,553.0,3840000.0,-262400.0,-2877000.0,-139000.0,369.9
126,2-Hexanone,C6H12O,587.05,3310000.0,-279826.0,-3490000.0,-130081.0,417.86
127,Methyl isobutyl ketone,C6H12O,571.4,3270000.0,-288000.0,-3490000.0,-135000.0,407.0
128,3-Methyl-2-pentanone,C6H12O,573.0,3320000.0,-281000.0,-3490000.0,-129000.0,412.0
129,3-Pentanone,C5H10O,560.95,3700000.0,-257900.0,-2880400.0,-134400.0,370.0
130,Ethyl isopropyl ketone,C6H12O,567.0,3340000.0,-286100.0,-3486000.0,-133000.0,406.9
131,Diisopropyl ketone,C7H14O,576.0,3060000.0,-311400.0,-4094999.9999999995,-132000.0,457.0
132,Cyclohexanone,C6H10O,653.0,4010000.0,-226100.0,-3299000.0,-86620.00000000001,322.0
133,Methyl phenyl ketone,C8H8O,709.5,3850000.0,-86700.0,-3973000.0,-1364.0,384.5
134,Formic acid,CH2O2,588.0,5810000.0,-378600.0,-211500.0,-351000.0,248.70000000000002
135,Acetic acid,C2H4O2,591.95,5740000.0,-432800.0,-814600.0,-374600.0,282.5
136,Propionic acid,C3H6O2,600.81,4610000.0,-453500.0,-1395000.0,-366700.0,323.0
137,n-Butyric acid,C4H8O2,615.7,4070000.0000000005,-475800.0,-2007699.9999999998,-360000.0,362.0
